Name,2_with_prob,3_with_prob,4_with_prob,5_with_prob,6_with_prob,7_with_prob,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
Walker,2.82682,2.82682,2.82682,2.82682,3.98621,3.50191,2.66737,3.01834,2.84119,3.97797,2.72365,2.84362,3.06301,2.93091,2.93742,3.59735,0,3.22338,3.83222,2.63743,4.06981,3.17615,3.93113,3.0288,3.59507,3.22151,2.2106,2.88222,3.35018,3.40525,3.52699,3.88473,2.85444,3.57692,3.79146,3.74889,3.79894
Antony,3.63972,3.63972,3.63972,3.63972,3.68099,3.75651,3.9957,3.9112,3.51752,3.96373,3.84241,3.78366,3.6167,3.79604,4.2506,3.50688,3.73166,3.82575,4.13428,3.90691,3.89355,3.94958,3.64099,3.7247,4.09339,3.40794,4.1052,3.75587,3.82236,3.6549,3.79814,3.97346,3.9598,3.93088,3.75376,3.82638,3.77986
B.Fernandes,6.0208,6.0208,6.0208,6.0208,5.91515,5.87164,6.21159,6.05891,5.34676,6.15394,5.93446,5.82819,5.52617,5.85059,6.67286,5.32751,5.73411,5.90433,6.46244,6.05115,6.02697,6.12833,5.5701,5.72154,6.38847,5.14852,6.40985,5.77792,5.89819,5.59527,5.85438,6.17152,6.14682,6.09451,5.77411,5.90547,5.82131
Casemiro,3.59455,3.59455,3.59455,3.59455,3.54477,3.52011,3.6637,3.58552,3.22159,3.63409,3.52193,3.46762,3.31327,3.47907,3.89928,3.21175,3.41954,3.50653,3.79175,3.58156,3.5692,3.621,3.33572,3.41311,3.75395,3.12028,3.76487,3.44193,3.50339,3.34859,3.481,3.64308,3.63045,3.60372,3.43998,3.50711,3.4641
Rashford,4.68209,4.68209,4.68209,4.68209,4.69595,4.75508,5.03988,4.87821,4.34982,4.94872,4.78588,4.70703,4.48294,4.72365,5.33374,4.33554,4.63723,4.76352,5.17762,4.87246,4.85451,4.92972,4.51553,4.6279,5.12274,4.20274,5.1386,4.66973,4.75897,4.53421,4.72646,4.96177,4.94344,4.90463,4.6669,4.76437,4.70192
Anderson,0.79578,0.79578,0.79578,0.79578,1.10194,1.24441,1.28411,1.31406,1.32817,1.31592,1.34276,1.31038,1.35364,1.30812,1.30215,1.36465,1.29736,1.37994,1.2576,1.25955,1.28208,1.31884,1.37211,1.39334,1.26891,1.33608,1.28462,1.30266,1.3384,1.3668,1.34098,1.33061,1.30017,1.30305,1.3088,1.31307,1.31518
Burn,3.42051,3.42051,3.42051,3.42051,2.98425,4.05328,2.94729,3.63747,3.60862,3.38992,3.63518,3.06805,3.26106,3.26293,2.89342,3.69323,2.97653,4.11539,2.2486,2.5228,2.97002,3.92529,3.617,4.01867,2.73924,3.83187,2.76243,3.56701,3.83937,3.97176,3.78924,3.10232,2.88016,3.8727,4.05642,3.05757,3.21563
Isak,3.68204,3.68204,3.68204,3.68204,4.05565,3.94047,3.79914,3.82718,3.72369,3.6482,3.89803,3.69428,3.97827,4.00623,3.61015,4.51995,3.5416,4.58391,3.55772,3.56163,3.89383,3.93943,3.95986,4.02004,3.62823,4.01421,3.57496,3.7544,4.00382,4.05801,4.27046,3.71764,3.4613,3.73571,3.9104,4.04097,3.58675
Joelinton,3.40736,3.40736,3.40736,3.40736,3.39967,3.49536,3.35995,3.46662,3.53764,3.47595,3.61104,3.44808,3.6658,3.4367,3.40668,3.7212,3.38255,3.79816,3.18247,3.19224,3.30565,3.49067,3.75876,3.8656,3.23939,3.57741,3.31843,3.40924,3.58911,3.73205,3.60211,3.54992,3.3967,3.41118,3.44013,3.4616,3.47225
Pope,3.46807,3.46807,3.46807,3.46807,3.7247,3.56049,3.2768,3.87237,3.8861,3.41571,3.58825,3.82111,3.7878,3.98902,3.57912,3.93262,3.83287,4.05293,3.53707,3.48538,3.46603,3.58787,3.89085,3.74783,3.5045,3.49442,3.47126,3.64934,3.8668,3.765,3.82128,3.5873,3.54761,3.58316,3.7957,3.5958,3.61921
Schär,3.7105,3.7105,3.7105,3.7105,3.22502,4.42301,3.16493,3.9417,3.90913,3.66223,3.93912,3.29886,3.51675,3.51887,3.10172,4.00465,3.19554,4.48124,2.37375,2.68331,3.18819,4.26663,3.9186,4.37205,2.92765,4.16117,2.95384,3.86215,4.16963,4.3191,4.11304,3.33755,3.08674,4.20726,4.41466,3.28703,3.46547
Trippier,4.28154,4.28154,4.28154,4.28154,3.66284,5.11146,3.60362,4.54206,4.50284,4.20554,4.53895,3.768,4.03037,4.03292,3.53061,4.61786,3.64359,5.19174,2.65404,3.0268,3.63473,4.93332,4.51424,5.06027,3.32102,4.80633,3.35254,4.44627,4.81652,4.9965,4.74837,3.81458,3.51258,4.86183,5.11158,3.75375,3.96862
Wilson,3.42503,3.42503,3.42503,3.42503,3.93183,3.86925,3.76779,3.841,3.72321,3.63728,3.92164,3.68973,4.01297,4.0448,3.59398,4.62952,3.51596,4.70231,3.5343,3.53875,3.91687,3.96876,3.99202,4.06052,3.61455,4.05389,3.55393,3.75817,4.04206,4.10373,4.34555,3.71633,3.42456,3.7369,3.93573,4.08434,3.56735
Awoniyi,3.42589,3.42589,3.42589,3.42589,3.01884,3.21066,3.25466,3.41311,3.08506,3.42205,3.27476,3.50038,3.51503,3.69762,3.2277,3.22251,3.4824,3.03485,3.4465,3.11001,3.16282,3.37753,3.49784,3.46846,3.37393,3.49768,3.20556,3.07121,3.31664,3.91204,3.13012,3.47739,3.47052,3.08842,3.50852,3.20242,3.38817
Gibbs-White,3.9779,3.9779,3.9779,3.9779,3.49003,4.17549,3.92224,4.04727,3.69638,4.02985,3.93144,4.01417,4.32209,4.17415,4.10075,4.11473,4.47414,3.81123,4.24667,4.0263,4.03051,4.18432,4.17003,4.15935,3.83662,4.00097,3.98185,3.92417,4.01989,4.30974,3.95164,4.14603,3.98583,3.70751,4.11921,3.99878,3.98973
Osula,1.05545,1.05545,1.05545,1.05545,1.17917,1.11558,1.25616,1.17536,1.07856,1.1853,1.09784,1.18691,1.15659,1.19183,1.09505,1.06383,1.15201,1.16462,1.03004,1.18243,1.11345,1.1675,1.05461,1.1927,1.10496,1.08408,1.15317,1.0324,1.32515,1.05906,1.09683,1.06709,1.15823,1.04291,1.34284,1.18309,1.10329
Maddison,4.84545,4.84545,4.84545,4.84545,4.4941,4.79011,4.61606,5.16493,4.67554,4.73646,4.87696,4.77927,4.17721,4.95771,4.97243,5.22385,5.18195,4.71313,5.39146,4.65585,5.06504,4.71862,4.75767,4.93936,4.53308,4.76554,4.51303,4.9781,4.80327,4.64368,5.28566,4.47804,4.33512,4.78018,4.31979,4.93076,4.9024
Pedro Porro,3.63422,3.63422,3.63422,3.63422,2.57924,2.74438,2.85055,3.53831,3.4177,2.9409,3.45746,3.30118,2.20543,3.67797,3.37513,3.46547,3.80448,2.80061,3.84931,2.76134,3.43728,3.12712,2.93088,3.6708,2.64885,3.48503,2.84721,3.63006,3.76007,2.8446,3.94173,2.56633,2.41986,3.24847,2.15783,3.9372,2.95928
Sarr,2.13671,2.13671,2.13671,2.13671,1.97784,2.02793,1.97919,2.16114,1.9843,2.00631,2.05708,2.02178,1.80423,2.08626,2.09158,2.18243,2.16729,1.99788,2.243,1.97719,2.12505,1.99986,2.01398,2.07963,1.93282,2.01682,1.92558,2.09363,2.03046,1.97279,2.20476,1.91293,1.86129,2.02211,1.85575,2.07652,2.06628
Son,5.15071,5.15071,5.15071,5.15071,4.86312,5.1228,4.93687,5.37181,4.89622,4.95543,5.09196,4.99703,4.41195,5.17043,5.18474,5.42907,5.38835,4.93276,5.59195,4.87709,5.27474,4.93808,4.97604,5.1526,4.75778,4.98369,4.7383,5.19025,5.02035,4.86526,5.48913,4.70429,4.5654,4.99791,4.55051,5.14425,5.11669
Antonio,2.91405,2.91405,2.91405,2.91405,2.92857,3.06695,3.29547,3.19784,3.32569,2.95869,3.73525,3.21074,3.14593,2.97691,3.49114,3.29158,3.26359,2.99099,3.31242,3.31979,3.29612,2.86099,3.00654,3.24925,3.03742,3.28536,3.21536,3.24144,2.89058,3.06063,3.06534,3.68544,3.08925,3.30997,2.94951,3.23334,2.85434
Areola,3.07697,3.07697,3.07697,3.07697,3.12111,3.16047,3.09799,3.06045,3.31573,3.19124,3.56159,3.34195,3.40742,3.15702,3.36379,3.0847,3.3352,3.0933,3.17125,3.28132,3.30108,3.13011,3.01749,3.4232,3.06219,3.50701,3.14111,3.17666,3.09551,3.164,3.41914,3.45886,3.21698,2.94617,3.06492,3.16449,2.69803
Bowen,4.63508,4.63508,4.63508,4.63508,4.53614,4.78472,4.96081,4.54264,5.15686,4.78262,5.25208,4.73635,4.7745,4.68816,4.96968,4.93411,5.06143,4.44719,4.76728,4.90017,5.34923,4.67379,4.78794,5.19533,5.04951,4.73141,4.92621,4.78711,4.51051,4.8945,4.87681,5.14123,4.69186,4.75057,4.56105,4.80915,4.23429
L.Paquetá,3.34581,3.34581,3.34581,3.34581,3.32077,3.52744,3.72231,3.44184,3.87369,3.61056,3.94064,3.57803,3.60486,3.54415,3.74208,3.71707,3.80659,3.37473,3.59978,3.69321,4.00894,3.53404,3.61431,3.90073,3.79821,3.57456,3.71152,3.61372,3.41925,3.68922,3.67679,3.8627,3.54675,3.58803,3.45478,3.62922,3.22504
Neto,3.82009,3.82009,3.82009,3.82009,3.62232,3.3733,3.63238,3.74388,3.72976,3.67948,3.67504,3.73383,3.32529,3.69984,3.95464,3.49372,3.56034,3.58756,3.88018,3.54359,3.80557,3.41432,3.79625,3.51371,3.51878,3.3748,3.86796,4.0306,3.39992,3.55139,3.71918,3.91026,3.59173,3.60831,3.15882,3.58122,3.26118
José Sá,3.32998,3.32998,3.32998,3.32998,3.81471,3.47829,3.59132,3.57788,3.50212,3.70999,3.57697,3.80349,3.4968,3.55101,4.02776,3.27636,3.80333,3.60785,3.749,3.74944,3.77107,3.46462,3.46153,3.56905,3.57296,3.49931,3.91129,3.73238,3.45955,3.77872,3.84756,3.87085,3.41084,3.57752,3.04863,3.85296,3.52834
Cunha,3.24458,3.24458,3.24458,3.24458,2.83386,2.83178,3.13235,3.07964,3.18784,3.19745,2.9402,3.36754,2.87108,3.09379,3.60984,2.9872,2.92213,2.83902,3.20331,2.92495,3.14167,2.8299,2.91717,2.85711,2.95417,2.77141,3.56039,3.17396,3.0764,3.0892,3.16142,3.12743,2.88651,3.11164,2.73544,3.02487,2.81657
Diaby,3.96716,3.96716,3.96716,3.96716,3.81164,3.98822,4.07909,4.15877,4.04762,4.3503,4.3079,3.9528,4.18353,3.7107,4.031,4.02683,3.95788,3.94153,4.13938,3.9867,4.16936,4.11896,4.24535,4.17344,4.39478,3.92556,4.11452,3.93277,4.14556,3.59706,4.23601,3.76393,4.47093,3.99954,3.98275,4.00172,3.95569
Disasi,3.9107,3.9107,3.9107,3.9107,3.65089,4.07523,4.38278,3.59817,3.82699,3.02317,2.59396,2.77147,3.21328,3.00781,3.45111,4.15728,3.85145,3.88486,3.11942,3.94944,2.27639,4.11,3.80326,2.33409,3.2651,3.39633,3.75167,2.84461,4.43286,3.44894,3.24769,4.27201,3.0554,3.11188,4.11869,3.86116,4.32634
Højlund,2.94115,2.94115,2.94115,2.94115,2.85677,2.80749,2.71661,2.99778,2.63545,3.16088,2.9155,2.96501,2.58925,2.73378,2.97525,2.63255,2.79617,2.92321,2.93064,2.7511,2.75558,2.96323,2.8817,2.62061,3.34581,2.55475,3.00339,2.76449,2.65408,2.64534,2.98843,2.88481,2.98857,2.89838,2.77834,2.69962,2.73648
Ward-Prowse,4.1767,4.1767,4.1767,4.1767,4.1379,4.40542,4.59868,4.20297,4.75064,4.41694,4.83554,4.37569,4.40971,4.33272,4.58373,4.55202,4.66554,4.11786,4.40326,4.52176,4.92217,4.3199,4.42169,4.78494,4.65492,4.37129,4.54498,4.42095,4.17432,4.5167,4.50093,4.7367,4.33601,4.38837,4.21938,4.4406,3.92802
