ID,1_with_prob,2_with_prob,3_with_prob,4_with_prob,5_with_prob,6_with_prob,7_with_prob,8_with_prob,9_with_prob,10_with_prob,11_with_prob,12_with_prob,13_with_prob,14_with_prob,15_with_prob,16_with_prob,17_with_prob,18_with_prob,19_with_prob,20_with_prob,21_with_prob,22_with_prob,23_with_prob,24_with_prob,25_with_prob,26_with_prob,27_with_prob,28_with_prob,29_with_prob,30_with_prob,31_with_prob,32_with_prob,33_with_prob,34_with_prob,35_with_prob,36_with_prob,37_with_prob,38_with_prob
31,2.13916,2.13916,2.13916,2.13916,2.13916,2.11749,2.59736,1.842,2.03013,2.83311,1.96768,3.0052,2.3579,2.80358,2.18497,2.18026,2.24358,1.65851,2.809,2.77275,2.66298,2.64818,2.11703,2.17829,2.96598,2.57981,2.26508,2.62684,2.25117,1.69454,2.87114,2.14499,2.52384,2.64212,2.12487,2.93868,2.11527,2.90476
32,2.61711,2.61711,2.61711,2.61711,2.61711,2.19717,2.49727,2.97031,3.19763,3.27207,3.00498,3.07102,2.37811,3.02073,2.05703,2.80825,2.65726,3.2265,2.36662,3.43265,2.69824,2.92308,2.54607,2.69661,3.1542,3.43676,2.45011,2.55909,2.4421,3.19113,1.86262,2.97942,2.24453,3.35297,2.5294,2.40222,2.36873,2.96167
33,0.86614,0.86614,0.86614,0.86614,0.86614,0.96943,0.91802,1.02653,0.95855,0.87977,0.96664,0.89546,0.96795,0.94327,0.97195,0.89319,0.86778,0.93954,0.94981,0.84028,0.9643,0.90817,0.95215,0.86028,0.97266,0.90126,0.88426,0.94049,0.8422,1.08045,0.8639,0.89464,0.87044,0.94461,0.85076,1.09484,0.96484,0.89989
34,2.4079,2.4079,2.4079,2.4079,2.4079,2.33651,2.42887,2.50637,2.56755,2.50219,2.68019,2.65525,2.44642,2.58211,2.30405,2.49242,2.48996,2.44941,2.4398,2.55615,2.46636,2.57378,2.54414,2.61847,2.57618,2.70635,2.43041,2.54153,2.43464,2.55979,2.23722,2.61298,2.33536,2.75113,2.47391,2.46404,2.47519,2.44813
35,1.5,1.5,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0365,2.89998,3.24837,3.50721,3.14858,3.33845,3.19762,3.36251,2.93751,3.43259,3.0668,3.61462,3.24936,3.23636,3.25105,3.21539
36,3.8232,3.8232,3.8232,3.8232,3.8232,2.77009,3.04064,3.57171,3.87578,3.97031,3.63111,3.71498,2.83495,3.65111,2.42716,3.38124,3.18948,3.91245,2.82035,4.17427,3.24152,3.52708,3.04826,3.23946,3.82061,4.17948,2.92639,3.0648,2.91622,3.86753,2.18026,3.59864,2.6653,4.07306,3.02709,2.86556,2.82303,3.57609
37,0.24869,0.24869,0.24869,0.24869,0.24869,0.1852,0.20661,0.2466,0.26334,0.26957,0.24721,0.25274,0.1947,0.24852,0.16781,0.23073,0.21808,0.26576,0.19374,0.28302,0.22151,0.24035,0.20877,0.22138,0.2597,0.28337,0.20073,0.20986,0.20006,0.2628,0.15153,0.24506,0.18351,0.27635,0.20737,0.19672,0.19392,0.24358
38,1.46931,1.46931,1.46931,1.46931,1.46931,1.80217,1.99417,2.03673,2.1167,2.06024,2.21399,2.19245,2.01208,2.12928,1.8891,2.0518,2.04968,2.01466,2.00635,2.10685,2.0293,2.12208,2.09648,2.16068,2.12416,2.23659,1.99824,2.09422,2.0019,2.10999,1.83137,2.15594,1.91614,2.27527,2.03582,2.02729,2.03692,2.01355
39,0.0314,0.0314,0.0314,0.0314,0.0314,0.02943,0.03308,0.03059,0.03278,0.03228,0.03244,0.03683,0.0297,0.03196,0.02932,0.03,0.02952,0.03069,0.02854,0.0321,0.0328,0.03305,0.03315,0.03258,0.03487,0.03733,0.02917,0.03054,0.03102,0.03287,0.02847,0.03031,0.02984,0.03291,0.03036,0.03039,0.03305,0.03083
40,0.60871,0.60871,0.60871,0.60871,0.60871,0.59141,0.60813,0.617,0.62301,0.61152,0.64281,0.63843,0.60172,0.62557,0.57668,0.6098,0.60937,0.60224,0.60055,0.62101,0.60522,0.62411,0.6189,0.63196,0.62453,0.64741,0.5989,0.61844,0.59964,0.62165,0.56493,0.631,0.58219,0.65529,0.60655,0.60481,0.60677,0.60201
41,1.0735,1.0735,1.0735,1.0735,1.0735,1.10779,1.4238,1.78985,1.917,1.95901,1.80829,1.84555,1.45453,1.81718,1.27333,1.69727,1.61206,1.9333,1.44804,2.04963,1.63518,1.76207,1.54931,1.63427,1.89249,2.05195,1.49516,1.55666,1.49064,1.91334,1.16363,1.79386,1.37915,2.00466,1.53991,1.46813,1.44923,1.78384
42,2.34177,2.34177,2.34177,2.34177,2.34177,1.77467,1.9678,2.32097,2.48298,2.54003,2.33533,2.38594,1.85486,2.3474,1.60876,2.18454,2.06881,2.50511,1.84605,2.66312,2.10022,2.27255,1.98359,2.09897,2.44969,2.66626,1.91004,1.99357,1.9039,2.478,1.45976,2.31573,1.75248,2.60204,1.97081,1.87333,1.84767,2.30213
43,3.64878,3.64878,3.64878,3.64878,3.64878,3.4998,3.64044,3.76221,3.84086,3.74034,4.01409,3.97574,3.65457,3.86325,3.43561,3.72531,3.72153,3.65917,3.64438,3.82332,3.68523,3.85044,3.80486,3.91917,3.85413,4.05432,3.62994,3.80084,3.63646,3.82892,3.33283,3.91072,3.48376,4.12319,3.69685,3.68167,3.69882,3.65719
44,1.55903,1.55903,1.55903,1.55903,1.55903,1.48448,1.7164,1.61435,1.74687,1.71939,1.72811,1.96712,1.57888,1.70173,1.55818,1.59512,1.5689,1.63246,1.51536,1.70954,1.7479,1.76146,1.76676,1.73597,1.86065,1.99441,1.54963,1.62475,1.6507,1.75131,1.51172,1.61204,1.5866,1.75379,1.61478,1.61634,1.76138,1.64044
45,0.04958,0.04958,0.04958,0.04958,0.04958,0.03682,0.04113,0.04916,0.05253,0.05378,0.04928,0.0504,0.03873,0.04955,0.03333,0.04597,0.04343,0.05301,0.03854,0.05648,0.04412,0.04791,0.04156,0.04409,0.0518,0.05655,0.03994,0.04178,0.03981,0.05242,0.03005,0.04885,0.03648,0.05514,0.04128,0.03914,0.03857,0.04856
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,2.50256,2.50256,2.50256,2.50256,2.50256,2.42991,2.51453,2.55129,2.59379,2.5383,2.68942,2.66825,2.49096,2.60615,2.37009,2.53,2.52792,2.49349,2.48533,2.58411,2.50788,2.59908,2.57392,2.63702,2.60112,2.71163,2.47736,2.5717,2.48096,2.5872,2.31335,2.63236,2.39666,2.74964,2.51429,2.50591,2.51538,2.4924
48,3.26636,3.26636,3.26636,3.26636,3.26636,2.56657,2.92076,3.48186,3.71728,3.79684,3.51139,3.58197,2.84141,3.52822,2.49824,3.30112,3.13975,3.74814,2.82912,3.96847,3.18354,3.42385,3.02091,3.18181,3.67086,3.97286,2.91836,3.03483,2.9098,3.71034,2.29047,3.48407,2.69864,3.8833,3.0031,2.86717,2.83138,3.46509
49,3.79732,3.79732,3.79732,3.79732,3.79732,3.4031,3.5255,3.81081,3.79184,3.51771,3.81549,3.85654,3.50911,3.51808,3.41698,3.34851,3.54851,3.51308,3.47814,3.4908,3.91196,3.44117,3.65219,3.7142,3.74711,3.97478,3.7585,3.51715,3.21199,3.42587,2.98081,3.39996,3.43577,3.67493,3.74694,3.69223,3.26642,3.57812
50,3.49514,3.49514,3.49514,3.49514,3.49514,3.33607,3.40685,3.49981,3.55427,3.46755,3.70372,3.67063,3.39356,3.57359,3.20467,3.45458,3.45133,3.39753,3.38477,3.53914,3.42002,3.56254,3.52322,3.62183,3.56572,3.73842,3.37231,3.51975,3.37794,3.54397,3.116,3.61454,3.2462,3.79783,3.43004,3.41694,3.43173,3.39582
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,1.75362,1.75362,1.75362,1.75362,1.75362,1.75468,3.48302,1.76224,1.8378,1.67387,1.7261,1.70681,1.73211,1.73414,1.73548,1.63284,1.78436,1.77982,1.76367,1.7254,1.72252,1.73029,1.6658,1.71205,1.80417,1.6293,1.73527,1.71135,1.85205,1.71042,1.6499,1.87646,1.59642,1.80118,1.7578,1.82814,1.704,1.82421
53,0.20984,0.20984,0.20984,0.20984,0.20984,0.19118,0.19697,0.21048,0.20958,0.19661,0.2107,0.21264,0.1962,0.19662,0.19184,0.1886,0.19806,0.19639,0.19473,0.19533,0.21527,0.19298,0.20297,0.20591,0.20746,0.21824,0.208,0.19658,0.18214,0.19226,0.17119,0.19103,0.19273,0.20405,0.20746,0.20487,0.18471,0.19947
54,0.27927,0.27927,0.27927,0.27927,0.27927,0.27866,0.28377,0.28704,0.28893,0.28522,0.29628,0.29626,0.28179,0.29013,0.2729,0.28472,0.28336,0.28198,0.28125,0.28853,0.28302,0.29057,0.28465,0.29185,0.28976,0.29821,0.28081,0.28834,0.28098,0.28759,0.26858,0.29175,0.27405,0.29921,0.28348,0.28389,0.28356,0.28128
55,2.95424,2.95424,2.95424,2.95424,2.95424,3.22157,3.44978,3.52392,3.62324,3.52593,3.79094,3.75381,3.44291,3.64492,3.23095,3.51138,3.50773,3.44736,3.43304,3.60626,3.47259,3.63252,3.58839,3.69905,3.63609,3.82988,3.41906,3.5845,3.42537,3.61168,3.13145,3.69087,3.27755,3.89655,3.48383,3.46914,3.48574,3.44544
56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2.44572,2.44572,2.44572,2.44572,2.44572,2.48205,2.68786,2.80853,2.87597,2.808,2.9931,2.96717,2.75001,2.89111,2.60195,2.79783,2.79528,2.75312,2.74312,2.86411,2.77074,2.88245,2.85163,2.92892,2.88494,3.02031,2.73335,2.84891,2.73776,2.86789,2.53245,2.92321,2.63451,3.06687,2.77859,2.76833,2.77992,2.75178
59,0.81262,0.81262,0.81262,0.81262,0.81262,0.95833,1.05815,1.0899,1.13605,1.11362,1.17469,1.16614,1.09449,1.14104,1.04565,1.11027,1.10943,1.09552,1.09222,1.13214,1.10133,1.13819,1.12802,1.15352,1.13901,1.18367,1.089,1.12712,1.09045,1.13338,1.02272,1.15163,1.05639,1.19903,1.10392,1.10053,1.10436,1.09508
60,4.40488,4.40488,4.40488,4.40488,4.40488,4.14248,4.75171,4.37411,4.73641,4.65725,4.68236,5.37087,4.25248,4.60636,4.19283,4.29924,4.22372,4.40683,4.06949,4.62886,4.73936,4.77843,4.79371,4.705,5.06418,5.4495,4.16821,4.38462,4.45936,4.74918,4.059,4.34799,4.2747,4.75634,4.35589,4.36037,4.7782,4.4298
61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1.37212,1.37212,1.37212,1.37212,1.37212,1.40879,1.44893,1.452,1.49305,1.49145,1.35131,1.4992,1.48618,1.46292,1.44399,1.43939,1.46774,1.54748,1.535,1.44324,1.45588,1.43806,1.55824,1.50026,1.40726,1.38068,1.453,1.44455,1.48145,1.53817,1.46073,1.4362,1.51884,1.41376,1.45802,1.39426,1.51444,1.41749
63,3.23592,3.23592,3.23592,3.23592,3.23592,3.2602,3.31395,3.30535,3.44507,3.44036,3.02766,3.46318,3.42483,3.35739,3.30058,3.2898,3.37054,3.60088,3.56861,3.29838,3.3356,3.28313,3.63473,3.46629,3.19241,3.11414,3.32712,3.30224,3.4109,3.57793,3.34988,3.27765,3.52101,3.21158,3.34557,3.15465,3.5139,3.22256
64,2.61488,2.61488,2.61488,2.61488,2.61488,2.58627,2.59437,2.52875,2.55808,2.55435,2.22753,2.57242,2.54205,2.48864,2.44365,2.43512,2.49905,2.68146,2.65591,2.44191,2.47139,2.42984,2.70827,2.57488,2.358,2.29601,2.46467,2.44497,2.53101,2.66329,2.48269,2.42549,2.61822,2.37317,2.47928,2.32809,2.61259,2.38187
65,2.50584,2.50584,2.50584,2.50584,2.50584,2.55586,2.62247,2.61739,2.70534,2.70209,2.41694,2.71786,2.69136,2.64476,2.60551,2.59806,2.65385,2.81299,2.7907,2.60399,2.62971,2.59345,2.83638,2.72,2.53077,2.47669,2.62385,2.60666,2.68173,2.79714,2.63957,2.58966,2.75781,2.54402,2.63659,2.50468,2.7529,2.5516
66,1.52053,1.52053,1.52053,1.52053,1.52053,1.54451,1.58942,1.60454,1.66507,1.66308,1.48847,1.67273,1.65651,1.62798,1.60394,1.59938,1.63354,1.73099,1.71733,1.60301,1.61876,1.59656,1.74531,1.67405,1.55818,1.52506,1.61517,1.60464,1.65061,1.72128,1.62479,1.59424,1.6972,1.56628,1.62297,1.5422,1.69419,1.57093
67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,0.37681,0.37681,0.37681,0.37681,0.37681,0.36789,0.42698,0.41046,0.48873,0.52071,0.27514,0.44676,0.38405,0.42687,0.45645,0.36068,0.49661,0.45602,0.4727,0.36225,0.361,0.37206,0.51758,0.47891,0.33432,0.31421,0.51916,0.48977,0.45589,0.51392,0.45917,0.36365,0.40911,0.37262,0.3831,0.34433,0.45249,0.34739
70,1.56183,1.56183,1.56183,1.56183,1.56183,1.52181,1.77703,1.73092,2.00384,2.13757,1.26824,1.85541,1.64666,1.8183,1.87678,1.5473,2.04865,1.90077,1.93733,1.55366,1.54847,1.5891,2.13984,1.98339,1.44941,1.37588,2.11155,2.02342,1.89674,2.07095,1.91058,1.59353,1.73002,1.59041,1.63241,1.4797,1.88661,1.49083
71,0.12846,0.12846,0.12846,0.12846,0.12846,0.12814,0.12908,0.12821,0.13131,0.13119,0.12063,0.13177,0.13079,0.12906,0.12761,0.12734,0.1294,0.13529,0.13447,0.12756,0.12851,0.12717,0.13616,0.13185,0.12485,0.12284,0.12829,0.12765,0.13043,0.1347,0.12887,0.12703,0.13325,0.12534,0.12876,0.12388,0.13307,0.12562
72,1.81455,1.81455,1.81455,1.81455,1.81455,1.85738,1.89949,1.90087,1.9669,1.96459,1.76245,1.97577,1.95698,1.92395,1.89613,1.89085,1.93039,2.04321,2.02741,1.89505,1.91328,1.88758,2.05979,1.97729,1.84315,1.80481,1.90912,1.89694,1.95016,2.03197,1.92027,1.88489,2.00409,1.85253,1.91816,1.82465,2.00061,1.85791
73,0.00527,0.00527,0.00527,0.00527,0.00527,0.00529,0.00531,0.00526,0.00539,0.00542,0.00484,0.00548,0.00531,0.0053,0.00521,0.00521,0.00532,0.00564,0.00564,0.00523,0.00528,0.0052,0.0057,0.00546,0.00508,0.00497,0.00522,0.00523,0.00538,0.00562,0.0053,0.0052,0.00552,0.00511,0.00528,0.005,0.00551,0.00514
74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,0.79921,0.79921,0.79921,0.79921,0.79921,0.79076,0.93241,0.9122,1.08111,1.15686,0.6644,0.99703,0.87877,0.976,1.00913,0.82248,1.10649,1.02272,1.04343,0.82609,0.82314,0.84616,1.15815,1.06952,0.76703,0.72537,1.14213,1.0922,1.02044,1.11912,1.02828,0.84867,0.92599,0.8469,0.87069,0.78419,1.0147,0.79049
76,1.37011,1.37011,1.37011,1.37011,1.37011,1.40781,1.41167,1.55559,1.55846,1.52323,1.35639,1.56703,1.5715,1.53529,1.46495,1.35946,1.53155,1.5389,1.74049,1.41304,1.56696,1.47361,1.76351,1.65069,1.37314,1.39557,1.5211,1.45823,1.4539,1.57423,1.49115,1.38836,1.54553,1.51514,1.56809,1.41954,1.441,1.40037
77,3.56209,3.56209,3.56209,3.56209,3.56209,3.51238,3.20005,3.71205,3.27034,3.32934,2.86593,3.28425,3.47599,3.36653,3.40869,3.31785,3.3538,3.62438,3.66168,3.34599,3.12546,3.07599,3.76912,3.56224,3.28166,3.26227,3.5394,3.34959,3.62013,3.51198,3.60788,3.5726,3.53234,3.24498,3.36088,3.27934,3.2468,3.24966
78,1.65266,1.65266,1.65266,1.65266,1.65266,1.9755,1.9968,2.07728,2.20679,2.20384,1.9458,2.21811,2.19413,2.15197,2.11644,2.1097,2.16019,2.3042,2.28403,2.11507,2.13834,2.10554,2.32537,2.22005,2.04882,1.99988,2.13304,2.11748,2.18542,2.28986,2.14727,2.10211,2.25427,2.0608,2.14457,2.0252,2.24982,2.06766
